-5;24;997;17710;-13930;2380
-16;38;1003;-3360;-9030;70
8;38;1032;-1680;1960;-1820
16;-9;1022;-630;-1400;2450
-20;-9;1001;-1470;700;-2660
7;-31;975;-5250;6230;-2380
-14;-32;1046;-7350;-4130;630
30;-49;955;-350;-4620;-980
61;-30;1016;1400;-11970;-140
72;-16;1002;6510;-840;770
83;-32;1009;-8890;8470;-1960
0;-48;1016;-630;6440;2170
3;-57;986;-1330;3570;-3850
-33;-13;1008;6020;4270;-1960
-27;-45;1026;-980;3570;-2100
-90;-61;1010;-4900;280;-5530
-37;-109;976;6090;6650;-7910
-30;-90;1023;-1330;5110;-5250
-45;-132;962;6650;2380;-2310
-36;-109;969;-1260;1960;-1190
-35;-128;952;-3430;-2520;2380
-48;-97;1029;6020;-3990;840
-37;-83;949;3570;-2310;70
-19;-81;973;-910;-5950;630
78;-104;988;-12950;-4060;3220
21;-135;946;5880;-5390;8400
66;-81;1041;-5180;-5810;-3780
67;-101;1008;5320;2940;-4340
76;-84;998;3220;-15610;6160
66;-103;1000;3780;5110;-1260
83;-80;1017;1960;-10080;-140
123;-72;1006;630;-280;-7140
148;-68;996;6440;-7910;-700
159;-29;983;2590;-3710;1820
116;-18;998;1330;11900;3220
85;-10;1049;10150;7280;2310
88;-1;1020;10220;-1890;3080
130;15;1024;11480;-3290;-3990
110;21;1001;1470;-8470;4760
145;21;1002;3500;-10080;-280
197;74;1030;5250;6860;-6930
174;85;989;6790;-210;-1610
186;104;987;-3780;-4970;-3570
222;105;968;11970;8470;-4410
214;173;1001;20090;-2730;-910
196;137;971;-21910;5600;700
131;34;998;-11200;-420;-1190
97;-27;1003;-6440;14770;1050
95;-24;991;6650;-6510;-9450
144;-13;996;-2870;3500;2730
143;-9;992;-2730;-8050;-3290
122;-32;1005;-6860;-210;3150
157;-40;1029;-4130;2520;2450
112;-47;1022;3360;-1190;2870
131;-17;997;3570;1890;2590
82;-39;1115;0;-6720;-1260
132;21;994;8050;4830;1890
131;31;1005;-2030;-13090;-770
116;18;1007;-5950;-5390;-3500
109;-12;1011;-11060;4130;-3850
110;-67;988;-7140;700;-700
79;-70;1000;-4130;6580;-2240
91;-96;975;-2870;3780;560
67;-98;995;1050;2730;2380
39;-78;1024;3150;490;700
46;-94;982;-630;4620;1750
1;-71;1018;2310;9590;4760
-48;-70;1008;-210;6440;-2170
-50;-125;1009;-6230;6580;1260
-91;-119;996;4200;1610;1400
-106;-117;1020;-14000;9800;3220
-162;-146;991;-5740;2450;-2940
-164;-144;973;3710;8890;-5320
-212;-147;976;1260;-1820;-1260
-198;-216;869;-4130;770;490
-231;-175;951;4130;-4830;-2660
-182;-167;970;490;-3710;-700
-181;-152;981;910;-4760;3430
-156;-137;1001;3290;3010;-2170
-132;-134;1019;4410;-8960;280
-118;-127;998;3850;-1540;1120
-78;-137;1005;-1120;-9450;-3080
-17;-144;1009;10010;-5180;700
-12;-106;1046;6860;700;-1470
-20;-93;1050;6930;1820;630
35;-116;995;2940;-6370;560
26;-90;994;3920;2660;1540
-3;-63;1002;770;-7560;1470
23;-46;993;8260;-5390;840
45;-11;1004;6510;9940;-70
36;7;1006;6020;-980;-70
31;12;1022;1610;-1610;910
47;2;998;-3640;-10500;280
65;14;991;-4690;2730;-2100
40;28;1045;7420;1120;-2030
68;12;1009;1890;-2380;-560
66;2;1006;-1190;-2100;420
58;-13;971;-4130;-2520;2100
68;-31;1021;-1400;-630;-490
46;-31;1009;3920;6090;9590
63;-58;997;-630;-12740;3990
48;-48;971;1120;13160;3920
5;-29;1026;5670;1330;-3780
42;-134;947;-26950;-10150;23030
-64;-43;1017;1890;-1820;4410
-55;-64;986;-3080;-9030;-210
-20;-110;1028;-4480;-3920;-70
-44;-108;1004;1890;-5460;2030
-32;-103;980;1470;1400;-840
-38;-101;1025;-1050;-980;-630
-29;-108;994;210;-3500;1260
-28;-110;994;1890;-3780;-70
-28;-115;1005;-980;-1120;-70
-17;-110;1026;-420;-1680;-770
-23;-116;1005;-350;-700;-1400
